director_name,actor_1_name,actor_2_name,actor_3_name,movie_title,genres,comb
Peter Lord,Salma Hayek,Russell Tovey,Brian Blessed,the pirates! band of misfits,Adventure Animation Comedy Family,Salma Hayek Russell Tovey Brian Blessed Peter Lord the pirates! band of misfits
Clint Eastwood,Angelina Jolie Pitt,Michael Kelly,Colm Feore,changeling,Crime Drama Mystery Thriller,Angelina Jolie Pitt Michael Kelly Colm Feore Clint Eastwood changeling
Andrew Davis,Keanu Reeves,Morgan Freeman,Kevin Dunn,chain reaction,Action Drama Sci-Fi Thriller,Keanu Reeves Morgan Freeman Kevin Dunn Andrew Davis chain reaction
Tony Scott,Robert De Niro,Kurt Fuller,Ellen Barkin,the fan,Action Drama Sport Thriller,Robert De Niro Kurt Fuller Ellen Barkin Tony Scott the fan
Joel Schumacher,Gerard Butler,Minnie Driver,Miranda Richardson,the phantom of the opera,Drama Musical Romance Thriller,Gerard Butler Minnie Driver Miranda Richardson Joel Schumacher the phantom of the opera
Shekhar Kapur,Eddie Redmayne,Abbie Cornish,Jordi Mollà,elizabeth: the golden age,Biography Drama History War,Eddie Redmayne Abbie Cornish Jordi Mollà Shekhar Kapur elizabeth: the golden age
Karyn Kusama,Charlize Theron,Sophie Okonedo,Paterson Joseph,æon flux,Action Sci-Fi,Charlize Theron Sophie Okonedo Paterson Joseph Karyn Kusama æon flux
Ron Maxwell,Billy Campbell,Bruce Boxleitner,John Castle,gods and generals,Drama History War,Billy Campbell Bruce Boxleitner John Castle Ron Maxwell gods and generals
Robert Butler,Hector Elizondo,Lauren Holly,Jeffrey DeMunn,turbulence,Action Thriller,Hector Elizondo Lauren Holly Jeffrey DeMunn Robert Butler turbulence
Karey Kirkpatrick,Stephen Root,Ronny Cox,Richard Schiff,imagine that,Comedy Drama Family Fantasy,Stephen Root Ronny Cox Richard Schiff Karey Kirkpatrick imagine that
James Bobin,Ty Burrell,Tina Fey,Hugh Bonneville,muppets most wanted,Adventure Comedy Crime Family Musical,Ty Burrell Tina Fey Hugh Bonneville James Bobin muppets most wanted
Jonathan Frakes,Sophia Myles,Philip Winchester,Brady Corbet,thunderbirds,Action Adventure Comedy Family Sci-Fi,Sophia Myles Philip Winchester Brady Corbet Jonathan Frakes thunderbirds
Steve Antin,Eric Dane,Peter Gallagher,David Walton,burlesque,Drama Music Musical Romance,Eric Dane Peter Gallagher David Walton Steve Antin burlesque
Jean-Pierre Jeunet,Denis Lavant,André Dussollier,Albert Dupontel,a very long engagement,Drama Mystery Romance War,Denis Lavant André Dussollier Albert Dupontel Jean-Pierre Jeunet a very long engagement
Jim Gillespie,Sylvester Stallone,Tom Berenger,Charles S. Dutton,eye see you,Crime Horror Mystery Thriller,Sylvester Stallone Tom Berenger Charles S. Dutton Jim Gillespie eye see you
Guillermo del Toro,Norman Reedus,Thomas Kretschmann,Tony Curran,blade ii,Action Horror Sci-Fi Thriller,Norman Reedus Thomas Kretschmann Tony Curran Guillermo del Toro blade ii
Gabriele Muccino,Will Smith,Rosario Dawson,Madison Pettis,seven pounds,Drama Romance,Will Smith Rosario Dawson Madison Pettis Gabriele Muccino seven pounds
Walter Hill,Sylvester Stallone,Jason Momoa,Jon Seda,bullet to the head,Action Thriller,Sylvester Stallone Jason Momoa Jon Seda Walter Hill bullet to the head
Francis Ford Coppola,Al Pacino,Joe Mantegna,Bridget Fonda,the godfather: part iii,Crime Drama,Al Pacino Joe Mantegna Bridget Fonda Francis Ford Coppola the godfather: part iii
Cameron Crowe,Orlando Bloom,Kirsten Dunst,Judy Greer,elizabethtown,Comedy Drama Romance,Orlando Bloom Kirsten Dunst Judy Greer Cameron Crowe elizabethtown
Anthony Russo,Todd Stashwick,Billy Gardell,Amanda Detmer,"you, me and dupree",Comedy Romance,"Todd Stashwick Billy Gardell Amanda Detmer Anthony Russo you, me and dupree"
Richard Lester,Margot Kidder,Ned Beatty,Jackie Cooper,superman ii,Action Adventure Romance Sci-Fi,Margot Kidder Ned Beatty Jackie Cooper Richard Lester superman ii
Martin Brest,Todd Giebenhain,Lenny Venito,David Backus,gigli,Comedy Crime Romance,Todd Giebenhain Lenny Venito David Backus Martin Brest gigli
Steven Zaillian,Kate Winslet,Anthony Hopkins,Kevin Dunn,all the king's men,Drama Thriller,Kate Winslet Anthony Hopkins Kevin Dunn Steven Zaillian all the king's men
John Singleton,Christian Bale,Vanessa Williams,Daniel von Bargen,shaft,Action Crime Thriller,Christian Bale Vanessa Williams Daniel von Bargen John Singleton shaft
Don Bluth,Kirsten Dunst,Kelsey Grammer,Bernadette Peters,anastasia,Adventure Animation Drama Family Fantasy Musical Mystery Romance,Kirsten Dunst Kelsey Grammer Bernadette Peters Don Bluth anastasia
Baz Luhrmann,Jim Broadbent,Kylie Minogue,Richard Roxburgh,moulin rouge!,Drama Musical Romance,Jim Broadbent Kylie Minogue Richard Roxburgh Baz Luhrmann moulin rouge!
Harold Becker,Steve Buscemi,Teri Polo,Matt O'Leary,domestic disturbance,Crime Mystery Thriller,Steve Buscemi Teri Polo Matt O'Leary Harold Becker domestic disturbance
Scott Cooper,Johnny Depp,Benedict Cumberbatch,Adam Scott,black mass,Biography Crime Drama,Johnny Depp Benedict Cumberbatch Adam Scott Scott Cooper black mass
Clint Eastwood,Paul Walker,Chris Bauer,Tom McCarthy,flags of our fathers,Drama History War,Paul Walker Chris Bauer Tom McCarthy Clint Eastwood flags of our fathers
F. Gary Gray,Gerard Butler,Leslie Bibb,Michael Kelly,law abiding citizen,Crime Drama Thriller,Gerard Butler Leslie Bibb Michael Kelly F. Gary Gray law abiding citizen
Robert Rodriguez,Quentin Tarantino,Rosario Dawson,Zoë Bell,grindhouse,Action Horror Thriller,Quentin Tarantino Rosario Dawson Zoë Bell Robert Rodriguez grindhouse
Jonathan Demme,Oprah Winfrey,Kimberly Elise,Hill Harper,beloved,Drama History Horror,Oprah Winfrey Kimberly Elise Hill Harper Jonathan Demme beloved
Curtis Hanson,Robert Downey Jr.,Robert Duvall,Kelvin Han Yee,lucky you,Drama Romance Sport,Robert Downey Jr. Robert Duvall Kelvin Han Yee Curtis Hanson lucky you
Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Jennifer Garner,catch me if you can,Biography Crime Drama,Leonardo DiCaprio Tom Hanks Jennifer Garner Steven Spielberg catch me if you can
Kathryn Bigelow,Jennifer Ehle,Harold Perrineau,Parker Sawyers,zero dark thirty,Drama History Thriller,Jennifer Ehle Harold Perrineau Parker Sawyers Kathryn Bigelow zero dark thirty
Peyton Reed,Jon Favreau,John Michael Higgins,Ann-Margret,the break-up,Comedy Drama Romance,Jon Favreau John Michael Higgins Ann-Margret Peyton Reed the break-up
Phyllida Lloyd,Colin Firth,Meryl Streep,Julie Walters,mamma mia!,Comedy Family Musical Romance,Colin Firth Meryl Streep Julie Walters Phyllida Lloyd mamma mia!
Garry Marshall,Bradley Cooper,Taylor Lautner,Anne Hathaway,valentine's day,Comedy Romance,Bradley Cooper Taylor Lautner Anne Hathaway Garry Marshall valentine's day
Jay Chandrasekhar,Alice Greczyn,Jessica Simpson,Michael Weston,the dukes of hazzard,Action Adventure Comedy,Alice Greczyn Jessica Simpson Michael Weston Jay Chandrasekhar the dukes of hazzard
Terrence Malick,Nick Stahl,Miranda Otto,Dash Mihok,the thin red line,Drama War,Nick Stahl Miranda Otto Dash Mihok Terrence Malick the thin red line
David Dobkin,Ryan Reynolds,Olivia Wilde,Mircea Monroe,the change-up,Comedy Fantasy,Ryan Reynolds Olivia Wilde Mircea Monroe David Dobkin the change-up
Milos Forman,Matt Price,Gerry Becker,Tom Dreesen,man on the moon,Biography Comedy Drama,Matt Price Gerry Becker Tom Dreesen Milos Forman man on the moon
Martin Scorsese,Robert De Niro,Don Rickles,Kevin Pollak,casino,Biography Crime Drama,Robert De Niro Don Rickles Kevin Pollak Martin Scorsese casino
Pierre Morel,Kasia Smutniak,Amber Rose Revah,Rebecca Dayan,from paris with love,Action Thriller,Kasia Smutniak Amber Rose Revah Rebecca Dayan Pierre Morel from paris with love
Paul Hunter,Jaime King,Mako,Victoria Smurfit,bulletproof monk,Action Comedy Fantasy,Jaime King Mako Victoria Smurfit Paul Hunter bulletproof monk
Bobby Farrelly,Robert Forster,Tony Cox,Rob Moran,"me, myself & irene",Comedy,"Robert Forster Tony Cox Rob Moran Bobby Farrelly me, myself & irene"
Steve Oedekerk,Rob Paulsen,Wanda Sykes,Maurice LaMarche,barnyard,Animation Comedy Family,Rob Paulsen Wanda Sykes Maurice LaMarche Steve Oedekerk barnyard
John Whitesell,Matthew Broderick,Jorge Garcia,Alia Shawkat,deck the halls,Comedy Family,Matthew Broderick Jorge Garcia Alia Shawkat John Whitesell deck the halls
Chris Weitz,Robert Pattinson,Kristen Stewart,Taylor Lautner,the twilight saga: new moon,Adventure Drama Fantasy Romance,Robert Pattinson Kristen Stewart Taylor Lautner Chris Weitz the twilight saga: new moon
Andrew Adamson,Kathleen Freeman,Chris Miller,Bobby Block,shrek,Adventure Animation Comedy Family Fantasy,Kathleen Freeman Chris Miller Bobby Block Andrew Adamson shrek
George Nolfi,Matt Damon,Michael Kelly,Jon Stewart,the adjustment bureau,Romance Sci-Fi Thriller,Matt Damon Michael Kelly Jon Stewart George Nolfi the adjustment bureau
Kevin Reynolds,Alan Rickman,Morgan Freeman,Michael Wincott,robin hood: prince of thieves,Action Adventure Drama Romance,Alan Rickman Morgan Freeman Michael Wincott Kevin Reynolds robin hood: prince of thieves
Cameron Crowe,Tom Cruise,Kelly Preston,Bonnie Hunt,jerry maguire,Comedy Drama Romance Sport,Tom Cruise Kelly Preston Bonnie Hunt Cameron Crowe jerry maguire
Seth MacFarlane,Mila Kunis,Seth MacFarlane,Tom Skerritt,ted,Comedy Fantasy,Mila Kunis Seth MacFarlane Tom Skerritt Seth MacFarlane ted
James L. Brooks,Lupe Ontiveros,Yeardley Smith,Shirley Knight,as good as it gets,Comedy Drama Romance,Lupe Ontiveros Yeardley Smith Shirley Knight James L. Brooks as good as it gets
Tom Shadyac,Robin Williams,Philip Seymour Hoffman,Monica Potter,patch adams,Biography Comedy Drama Romance,Robin Williams Philip Seymour Hoffman Monica Potter Tom Shadyac patch adams
Adam McKay,Harrison Ford,Will Ferrell,Steve Carell,anchorman 2: the legend continues,Comedy,Harrison Ford Will Ferrell Steve Carell Adam McKay anchorman 2: the legend continues
Steven Brill,Steve Buscemi,Adam Sandler,Peter Gallagher,mr. deeds,Comedy Romance,Steve Buscemi Adam Sandler Peter Gallagher Steven Brill mr. deeds
J.J. Abrams,Joel Courtney,AJ Michalka,Zach Mills,super 8,Mystery Sci-Fi Thriller,Joel Courtney AJ Michalka Zach Mills J.J. Abrams super 8
Steven Soderbergh,Julia Roberts,Albert Finney,Conchata Ferrell,erin brockovich,Biography Drama,Julia Roberts Albert Finney Conchata Ferrell Steven Soderbergh erin brockovich
Donald Petrie,Matthew McConaughey,Adam Goldberg,Thomas Lennon,how to lose a guy in 10 days,Comedy Romance,Matthew McConaughey Adam Goldberg Thomas Lennon Donald Petrie how to lose a guy in 10 days
Phil Lord,Channing Tatum,Craig Roberts,Amber Stevens West,22 jump street,Action Comedy Crime,Channing Tatum Craig Roberts Amber Stevens West Phil Lord 22 jump street
Neil Jordan,Brad Pitt,Tom Cruise,Kirsten Dunst,interview with the vampire: the vampire chronicles,Drama Fantasy Horror,Brad Pitt Tom Cruise Kirsten Dunst Neil Jordan interview with the vampire: the vampire chronicles
Peyton Reed,Bradley Cooper,Zooey Deschanel,Danny Masterson,yes man,Comedy Romance,Bradley Cooper Zooey Deschanel Danny Masterson Peyton Reed yes man
Rawson Marshall Thurber,Dwayne Johnson,Thomas Kretschmann,Megan Park,central intelligence,Action Comedy Crime,Dwayne Johnson Thomas Kretschmann Megan Park Rawson Marshall Thurber central intelligence
Chris Columbus,Julia Roberts,Liam Aiken,Herbert Russell,stepmom,Comedy Drama,Julia Roberts Liam Aiken Herbert Russell Chris Columbus stepmom
Sean Anders,Will Ferrell,Linda Cardellini,Mark L. Young,daddy's home,Comedy Family,Will Ferrell Linda Cardellini Mark L. Young Sean Anders daddy's home
Rob Marshall,Johnny Depp,Meryl Streep,Anna Kendrick,into the woods,Adventure Comedy Drama Fantasy Musical,Johnny Depp Meryl Streep Anna Kendrick Rob Marshall into the woods
Spike Lee,Denzel Washington,James Ransone,Peter Gerety,inside man,Crime Drama Mystery Thriller,Denzel Washington James Ransone Peter Gerety Spike Lee inside man
Brian Helgeland,Bill Duke,Deborah Kara Unger,William Devane,payback,Action Crime Drama Thriller,Bill Duke Deborah Kara Unger William Devane Brian Helgeland payback
Frank Marshall,Dylan Walsh,Joe Don Baker,Grant Heslov,congo,Action Adventure Mystery Sci-Fi,Dylan Walsh Joe Don Baker Grant Heslov Frank Marshall congo
Cameron Crowe,Scarlett Johansson,Matt Damon,Stephanie Szostak,we bought a zoo,Comedy Drama Family,Scarlett Johansson Matt Damon Stephanie Szostak Cameron Crowe we bought a zoo
Alex Proyas,Nicolas Cage,Ben Mendelsohn,Chandler Canterbury,knowing,Drama Mystery Sci-Fi Thriller,Nicolas Cage Ben Mendelsohn Chandler Canterbury Alex Proyas knowing
Tom Dey,Bradley Cooper,Matthew McConaughey,Zooey Deschanel,failure to launch,Comedy Romance,Bradley Cooper Matthew McConaughey Zooey Deschanel Tom Dey failure to launch
Hideo Nakata,Naomi Watts,Gary Cole,Sissy Spacek,the ring two,Horror Mystery,Naomi Watts Gary Cole Sissy Spacek Hideo Nakata the ring two
Glenn Ficarra,Ryan Gosling,Emma Stone,Steve Carell,"crazy, stupid, love.",Comedy Drama Romance,"Ryan Gosling Emma Stone Steve Carell Glenn Ficarra crazy, stupid, love."
Peter Hewitt,Bill Murray,Mark Christopher Lawrence,Michael Monks,garfield,Animation Comedy Family Fantasy,Bill Murray Mark Christopher Lawrence Michael Monks Peter Hewitt garfield
Joe Roth,Jamie Lee Curtis,Cheech Marin,Jake Busey,christmas with the kranks,Comedy Family,Jamie Lee Curtis Cheech Marin Jake Busey Joe Roth christmas with the kranks
Bennett Miller,Philip Seymour Hoffman,Robin Wright,Brad Pitt,moneyball,Biography Drama Sport,Philip Seymour Hoffman Robin Wright Brad Pitt Bennett Miller moneyball
Wolfgang Petersen,Kevin Spacey,Morgan Freeman,Rene Russo,outbreak,Action Drama Thriller,Kevin Spacey Morgan Freeman Rene Russo Wolfgang Petersen outbreak
Jaume Collet-Serra,Liam Neeson,Nate Parker,Scoot McNairy,non-stop,Action Mystery Thriller,Liam Neeson Nate Parker Scoot McNairy Jaume Collet-Serra non-stop
Andy Fickman,Dwayne Johnson,Billy Brown,Tom Everett Scott,race to witch mountain,Action Adventure Family Fantasy Sci-Fi Thriller,Dwayne Johnson Billy Brown Tom Everett Scott Andy Fickman race to witch mountain
James McTeigue,Natalie Portman,Eddie Marsan,Rupert Graves,v for vendetta,Action Drama Thriller,Natalie Portman Eddie Marsan Rupert Graves James McTeigue v for vendetta
David Dobkin,Fann Wong,Anna-Louise Plowman,Georgina Chapman,shanghai knights,Action Adventure Comedy,Fann Wong Anna-Louise Plowman Georgina Chapman David Dobkin shanghai knights
unknown,Bernard Hill,Gemma Jones,Nicola Walker,unforgotten            ,Crime Drama,Bernard Hill Gemma Jones Nicola Walker unknown unforgotten            
Matthew O'Callaghan,Will Ferrell,Frank Welker,Alexander Gould,curious george,Adventure Animation Comedy Family,Will Ferrell Frank Welker Alexander Gould Matthew O'Callaghan curious george
Angela Robinson,Scoot McNairy,Thomas Lennon,Cheryl Hines,herbie fully loaded,Adventure Comedy Family Fantasy Romance Sport,Scoot McNairy Thomas Lennon Cheryl Hines Angela Robinson herbie fully loaded
Gary Fleder,Oliver Platt,Jennifer Esposito,Conrad Goode,don't say a word,Crime Drama Mystery Thriller,Oliver Platt Jennifer Esposito Conrad Goode Gary Fleder don't say a word
Tommy Wirkola,Jeremy Renner,Derek Mears,Ingrid Bolsø Berdal,hansel & gretel: witch hunters,Action Fantasy Horror,Jeremy Renner Derek Mears Ingrid Bolsø Berdal Tommy Wirkola hansel & gretel: witch hunters
Adrian Lyne,Olivier Martinez,Erik Per Sullivan,Chad Lowe,unfaithful,Drama Thriller,Olivier Martinez Erik Per Sullivan Chad Lowe Adrian Lyne unfaithful
D.J. Caruso,Alex Pettyfer,Emily Wickersham,Reuben Langdon,i am number four,Action Adventure Sci-Fi Thriller,Alex Pettyfer Emily Wickersham Reuben Langdon D.J. Caruso i am number four
Michael Bay,Toby Stephens,James Badge Dale,David Costabile,13 hours,Action Drama Thriller War,Toby Stephens James Badge Dale David Costabile Michael Bay 13 hours
Jorge R. Gutiérrez,Channing Tatum,Hector Elizondo,Ana de la Reguera,the book of life,Adventure Animation Comedy Family Fantasy Romance,Channing Tatum Hector Elizondo Ana de la Reguera Jorge R. Gutiérrez the book of life
Richard Loncraine,Jimmy Bennett,Harrison Ford,Mary Lynn Rajskub,firewall,Crime Thriller,Jimmy Bennett Harrison Ford Mary Lynn Rajskub Richard Loncraine firewall
Clint Eastwood,Clint Eastwood,Mark Margolis,Scott Glenn,absolute power,Action Crime Drama Thriller,Clint Eastwood Mark Margolis Scott Glenn Clint Eastwood absolute power
Ridley Scott,Viggo Mortensen,Demi Moore,John Michael Higgins,g.i. jane,Action Drama War,Viggo Mortensen Demi Moore John Michael Higgins Ridley Scott g.i. jane
David Fincher,Deborah Kara Unger,Armin Mueller-Stahl,Charles Martinet,the game,Drama Mystery Thriller,Deborah Kara Unger Armin Mueller-Stahl Charles Martinet David Fincher the game
Christophe Gans,Radha Mitchell,Deborah Kara Unger,Alice Krige,silent hill,Adventure Horror Mystery,Radha Mitchell Deborah Kara Unger Alice Krige Christophe Gans silent hill
Howard Deutch,Keanu Reeves,Jon Favreau,Faizon Love,the replacements,Comedy Sport,Keanu Reeves Jon Favreau Faizon Love Howard Deutch the replacements
Jon Hurwitz,Alyson Hannigan,Dania Ramirez,Natasha Lyonne,american reunion,Comedy,Alyson Hannigan Dania Ramirez Natasha Lyonne Jon Hurwitz american reunion
F. Gary Gray,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan,the negotiator,Action Crime Drama Mystery Thriller,Kevin Spacey Michael Cudlitz Siobhan Fallon Hogan F. Gary Gray the negotiator
Steven Quale,Matt Walsh,Alycia Debnam-Carey,Scott Lawrence,into the storm,Action Thriller,Matt Walsh Alycia Debnam-Carey Scott Lawrence Steven Quale into the storm
John Landis,Louis Lombardi,Jon Tenney,Gilbert R. Hill,beverly hills cop iii,Action Comedy Crime Thriller,Louis Lombardi Jon Tenney Gilbert R. Hill John Landis beverly hills cop iii
Joe Dante,Christopher Lee,Robert Picardo,Phoebe Cates,gremlins 2: the new batch,Comedy Fantasy Horror,Christopher Lee Robert Picardo Phoebe Cates Joe Dante gremlins 2: the new batch
David Dobkin,Robert Downey Jr.,Robert Duvall,Leighton Meester,the judge,Crime Drama,Robert Downey Jr. Robert Duvall Leighton Meester David Dobkin the judge
Mimi Leder,Armin Mueller-Stahl,Holt McCallany,Marcel Iures,the peacemaker,Action Thriller,Armin Mueller-Stahl Holt McCallany Marcel Iures Mimi Leder the peacemaker
Alexander Witt,Milla Jovovich,Thomas Kretschmann,Mike Epps,resident evil: apocalypse,Action Horror Sci-Fi Thriller,Milla Jovovich Thomas Kretschmann Mike Epps Alexander Witt resident evil: apocalypse
Beeban Kidron,Colin Firth,Jim Broadbent,Celia Imrie,bridget jones: the edge of reason,Comedy Drama Romance,Colin Firth Jim Broadbent Celia Imrie Beeban Kidron bridget jones: the edge of reason
